Tournament Name:,14.1 VM 2026,,,,,,,,,,,,,,,,,,,,
Date:,2026-06-27,,,,,,,,,,,,,,,,,,,,
Discipline:,14.1,,,,,,,,,,,,,,,,,,,,
Format:,Straight Pool 14.1 — GBR_14.1 Experimental,,,,,,,,,,,,,,,,,,,,
Total Rounds:,5,,,,,,,,,,,,,,,,,,,,
Total Players:,10,,,,,,,,,,,,,,,,,,,,
Ranking System:,Point Differential 14.1 (MP -> Point Diff -> 14.1 PERF -> GD -> HS),,,,,,,,,,,,,,,,,,,,
Prestige Score:,Enabled,,,,,,,,,,,,,,,,,,,,
Event Score:,Disabled,,,,,,,,,,,,,,,,,,,,
R1 Target:,30,,,,,,,,,,,,,,,,,,,,
Tier Targets:,40 / 30 / 20,,,,,,,,,,,,,,,,,,,,
Tiering Starts Round:,2,,,,,,,,,,,,,,,,,,,,
K_14.1:,20,,,,,,,,,,,,,,,,,,,,
Weights (Margin/GD/HS):,60 / 30 / 10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Place,PLAYER,R1,R2,R3,R4,R5,Match Points,Prestige,Games,P+,P-,Point Diff,GD,HGD,HS,14.1 PERF,Start GBR,Final GBR,GBR Change,,
1,Paul Weißbach,"1 (30-1, I:4, HS:30)","1 (40-14, I:6, HS:16)","1 (40-29, I:5, HS:21)","1 (40-17, I:9, HS:15)","0 (36-40, I:12, HS:27)",4,96,5,186,101,+85,5.167,8,30,1866,1762,1789,+27,,
2,Janoš Nuck,"1 (30-4, I:6, HS:12)","1 (40-2, I:5, HS:28)","0 (29-40, I:5, HS:14)","1 (40-25, I:15, HS:14)","1 (40-25, I:13, HS:23)",4,100,5,179,96,+83,4.068,8,28,1876,1715,1766,+51,,
3,Richard Juros,"1 (30-16, I:9, HS:9)","0 (2-40, I:5, HS:2)","1 (30-12, I:11, HS:9)","1 (30-17, I:8, HS:8)","1 (40-36, I:12, HS:8)",4,96,5,132,121,+11,2.933,3.75,9,1679,1809,1813,+4,,
4,Stefan Loreck,"0 (1-30, I:4, HS:1)","1 (30-11, I:19, HS:3)","0 (12-30, I:11, HS:2)","1 (30-6, I:14, HS:9)","1 (33-9, I:20, HS:8)",3,85,5,106,86,+20,1.559,2.143,9,1606,1587,1605,+18,,
5,Carsten Gäbler,"1 (30-7, I:10, HS:12)","0 (10-40, I:13, HS:3)","1 (40-33, I:11, HS:11)","0 (25-40, I:15, HS:5)","1 (40-19, I:14, HS:13)",3,85,5,145,139,+6,2.302,3.636,13,1655,1687,1681,-6,,
6,Leonid Potapov,"0 (16-30, I:9, HS:4)","1 (40-10, I:13, HS:19)","1 (33-24, I:20, HS:8)","0 (17-40, I:9, HS:10)","0 (25-40, I:13, HS:11)",2,75,5,131,144,-13,2.047,3.077,19,1709,1657,1662,+5,,
7,Henry Zieger,"0 (4-30, I:6, HS:2)","0 (4-30, I:5, HS:3)","1 (30-6, I:12, HS:10)","1 (30-16, I:18, HS:7)","0 (9-33, I:20, HS:5)",2,76,5,77,115,-38,1.262,2.5,10,1513,1491,1502,+11,,
8,Paul Samuel Heim,"0 (13-30, I:8, HS:6)","1 (30-4, I:5, HS:11)","0 (33-40, I:11, HS:10)","0 (17-30, I:8, HS:7)",-,1,51,4,93,104,-11,2.906,6,11,1623,1731,1674,-57,,
9,Quang Anh Tran,"1 (30-13, I:8, HS:12)","0 (14-40, I:6, HS:9)","0 (24-33, I:20, HS:6)","0 (16-30, I:18, HS:6)","0 (19-40, I:14, HS:5)",1,65,5,103,156,-53,1.561,3.75,12,1573,1536,1523,-13,,
10,Henry Heim,"0 (7-30, I:10, HS:3)","0 (11-30, I:19, HS:3)","0 (6-30, I:12, HS:3)","0 (6-30, I:14, HS:2)",-,0,40,4,30,120,-90,0.545,0.7,3,1269,1428,1388,-40,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Round,Table,Target,Player A,Player B,A Points,B Points,Innings,A HS,B HS,A GD,B GD,A MP,B MP,A 14.1 PERF,B 14.1 PERF,A GBR Before,B GBR Before,A GBR Change,B GBR Change,A GBR After,B GBR After
1,304,30,Richard Juros,Leonid Potapov,30,16,9,9,4,3.33,1.78,1,0,1782,1684,1809,1657,+7,-7,1816,1650
1,302,30,Paul Weißbach,Stefan Loreck,30,1,4,30,1,7.5,0.25,1,0,2125,1224,1762,1587,+11,-11,1773,1576
1,303,30,Paul Samuel Heim,Quang Anh Tran,13,30,8,6,12,1.63,3.75,0,1,1382,1885,1731,1536,-35,+35,1696,1571
1,301,30,Janoš Nuck,Henry Zieger,30,4,6,12,2,5,0.67,1,0,1823,1383,1715,1491,+7,-7,1722,1484
1,201,30,Carsten Gäbler,Henry Heim,30,7,10,12,3,3,0.7,1,0,1680,1435,1687,1428,+4,-4,1691,1424
2,301,40,Paul Weißbach,Quang Anh Tran,40,14,6,16,9,6.67,2.33,1,0,1753,1591,1773,1571,+5,-5,1778,1565
2,302,40,Janoš Nuck,Richard Juros,40,2,5,28,2,8,0.4,1,0,2287,1251,1722,1816,+34,-34,1756,1782
2,304,40,Carsten Gäbler,Leonid Potapov,10,40,13,3,19,0.77,3.08,0,1,1400,1941,1691,1650,-27,+27,1664,1677
2,303,30,Paul Samuel Heim,Henry Zieger,30,4,5,11,3,6,0.8,1,0,1804,1376,1696,1484,+7,-7,1704,1477
2,201,20,Henry Heim,Stefan Loreck,11,30,19,3,3,0.58,1.58,0,1,1322,1678,1424,1576,-10,+10,1414,1586
3,301,40,Janoš Nuck,Paul Weißbach,29,40,5,14,21,5.8,8,0,1,1710,1824,1756,1778,-16,+16,1740,1794
3,304,40,Leonid Potapov,Quang Anh Tran,33,24,20,8,6,1.65,1.2,1,0,1622,1620,1677,1565,+7,-7,1684,1558
3,303,40,Paul Samuel Heim,Carsten Gäbler,33,40,11,10,11,3,3.64,0,1,1624,1744,1704,1664,-20,+20,1683,1684
3,302,30,Stefan Loreck,Richard Juros,12,30,11,2,9,1.09,2.73,0,1,1604,1764,1586,1782,-6,+6,1580,1787
